Molecule_id,Canonical_SMILES,Source
CHEMBL4288751,CCOC(=O)/C=C/c1c(NS(=O)(=O)c2cccs2)cc2c(c1OC)OCO2,S1
CHEMBL4288752,c1ccc(CNc2ncnc3sc4c(c23)CCCCC4)cc1,S1
CHEMBL4288753,Fc1ccc(-c2ccccc2N2CCN(CCc3c[nH]c4ccc(F)cc34)CC2)cc1,S1
CHEMBL4288755,C=C(C)[C@@H]1CC[C@]2(COC(=O)/C=C/c3ccccc3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCCNC(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,S1
CHEMBL4288756,COC(=O)[C@@H]1CCCN1C(=O)CCC(=O)Oc1ccc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc(OC)c(OC)c2)cc1OC,S1
CHEMBL4288836,COCC(=O)N1CCN(Cc2c(-c3ccc(Cl)cc3)nc3ccc(NS(C)(=O)=O)cn23)CC1,S1
CHEMBL4288837,CCOc1ccccc1C1(N2CCN(c3ccncc3)CC2)C(=O)N(S(=O)(=O)c2ccc(OC)cc2OC)c2ccc(C#N)cc21,S1
CHEMBL4288838,Cc1nc(N2C[C@H]3C(=O)N(C)C(=N)N[C@@]3(c3cc(-c4cccc(C#N)c4)cs3)C2)nc(C)c1F,S1
CHEMBL4288839,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@H]3c3ccccc3)OC(=O)[C@H](CC(C)C)OCCCNC2=O)cc1,S1
CHEMBL4288840,FC1(F)CCC(Nc2nc(NC3CCC(F)(F)CC3)nc(-c3cccc(C(F)(F)F)n3)n2)CC1,S1
CHEMBL4288841,CS(=O)(=O)N(Cc1ccco1)CC(O)Cn1c2cc(F)ccc2c2ccc(F)cc21,S1
CHEMBL4283437,COc1ccc(CCn2cc(CCc3ccc(O)cc3)nn2)cc1Br,S1
CHEMBL4283438,COc1ccc(-c2ccc3c(c2)C(=O)C(=O)N3c2ccc(OC)cc2)cc1,S1
CHEMBL4283439,CCOc1ccc2c(c1)[C@]1(CC[C@H](OCCN3CCOCC3)CC1)C(=O)N2S(=O)(=O)c1ccc(C(=O)NC(C)(C)C)cc1OC,S1
CHEMBL4283440,CN(CC(=O)N(Cc1ccc(C2CCCCC2)cc1)c1ccc(C(=O)O)c(O)c1)S(=O)(=O)c1c(F)cc(F)cc1F,S1
CHEMBL4283441,Clc1ccc(COc2cncc(-c3cccs3)c2)c(Cl)c1,S1
